舅父                	N    	human|人,family|家,male|男
舅舅                	N    	human|人,family|家,male|男
舅妈                	N    	human|人,family|家,female|女
舅母                	N    	human|人,family|家,female|女
舅子                	N    	human|人,family|家,male|男
眷属                	N    	human|人,family|家
军烈属              	N    	human|人,family|家,#military|军
军属                	N    	human|人,family|家,#military|军
昆                  	N    	human|人,family|家,male|男
昆仲                	N    	human|人,family|家,mass|众,male|男
郎                  	N    	human|人,family|家,male|男
老伴                	N    	human|人,family|家
老大                	N    	human|人,family|家
老父                	N    	human|人,family|家,male|男,aged|老
老公                	N    	human|人,family|家,male|男
老公公              	N    	human|人,family|家,male|男
老两口              	N    	human|人,family|家,aged|老,mass|众
老母                	N    	human|人,family|家,female|女,aged|老
老婆                	N    	human|人,family|家,female|女
老婆婆              	N    	human|人,family|家,female|女
老婆子              	N    	human|人,family|家,female|女
老前辈              	N    	human|人,family|家,aged|老
老亲                	N    	human|人,family|家
老亲                	N    	human|人,family|家,mass|众
老人                	N    	human|人,family|家,aged|老
老人家              	N    	human|人,family|家
老小                	N    	human|人,family|家,mass|众
老兄                	N    	human|人,family|家,male|男
老爷                	N    	human|人,family|家,male|男
老爷爷              	N    	human|人,family|家,male|男
老爷子              	N    	human|人,family|家,male|男
老子                	N    	human|人,family|家,male|男
姥姥                	N    	human|人,family|家,female|女
姥爷                	N    	human|人,family|家,male|男
连襟                	N    	human|人,family|家,mass|众
两口子              	N    	human|人,family|家,mass|众
烈军属              	N    	human|人,family|家
烈军属              	N    	human|人,family|家,#military|军
烈属                	N    	human|人,family|家,#die|死
六亲                	N    	human|人,family|家
妈                  	N    	human|人,family|家,female|女
妈妈                	N    	human|人,family|家,female|女
妹                  	N    	human|人,family|家,female|女
妹夫                	N    	human|人,family|家,male|男
妹妹                	N    	human|人,family|家,female|女
妹子                	N    	human|人,family|家,female|女
螟蛉                	N    	human|人,family|家,male|男,young|幼
母                  	N    	human|人,family|家,female|女
母女                	N    	human|人,family|家,mass|众
母亲                	N    	human|人,family|家,female|女
母体                	N    	human|人,family|家,female|女
母子                	N    	human|人,family|家,mass|众
奶奶                	N    	human|人,family|家,female|女
男                  	N    	human|人,family|家,male|男,young|幼
男亲属              	N    	human|人,male|男,family|家
男人                	N    	human|人,family|家,male|男
内弟                	N    	human|人,family|家,male|男
内亲                	N    	human|人,family|家
内人                	N    	human|人,family|家,female|女
内兄                	N    	human|人,family|家,male|男
内助                	N    	human|人,family|家,female|女
逆子                	N    	human|人,undesired|莠,family|家,treacherous|逆
娘                  	N    	human|人,family|家,female|女
娘舅                	N    	human|人,family|家,male|男
娘亲                	N    	human|人,family|家,female|女
娘姨                	N    	human|人,family|家,female|女
娘子                	N    	human|人,family|家,female|女
女                  	N    	human|人,family|家,female|女,young|幼
女儿                	N    	human|人,family|家,female|女
女孩                	N    	human|人,family|家,female|女
女家长              	N    	human|人,female|女,official|官,family|家
女眷                	N    	human|人,family|家,female|女
女亲属              	N    	human|人,female|女,family|家
女人                	N    	human|人,family|家,female|女
女婿                	N    	human|人,family|家,male|男
偶                  	N    	human|人,family|家,mass|众
配偶                	N    	human|人,family|家
婆                  	N    	human|人,family|家,female|女
婆娘                	N    	human|人,family|家,female|女
婆婆                	N    	human|人,family|家,female|女
婆媳                	N    	human|人,family|家,female|女
婆姨                	N    	human|人,family|家,female|女
戚                  	N    	human|人,family|家
妻                  	N    	human|人,family|家,female|女
妻儿                	N    	human|人,family|家,mass|众
妻儿老小            	N    	human|人,family|家,mass|众
妻子                	N    	human|人,family|家,female|女
妻孥                	N    	human|人,family|家,mass|众
千金                	N    	human|人,family|家,female|女
前房                	N    	human|人,family|家,female|女,past|昔
前夫                	N    	human|人,family|家,male|男
前妻                	N    	human|人,family|家,female|女
侨眷                	N    	human|人,family|家
侨属                	N    	human|人,family|家
亲                  	N    	human|人,family|家
亲家                	N    	human|人,family|家
亲眷                	N    	human|人,family|家
亲朋                	N    	human|人,family|家
亲朋好友            	N    	human|人,family|家
亲戚                	N    	human|人,family|家
亲人                	N    	human|人,family|家
亲属                	N    	human|人,family|家
亲友                	N    	human|人,friend|友,family|家
亲族                	N    	human|人,family|家
全家福              	N    	image|图像,$TakePicture|拍摄,#human|人,#family|家
人丁                	N    	quantity|数量,amount|多少,&human|人,family|家
人口                	N    	quantity|数量,amount|多少,&human|人,family|家
